AGM00060518,19760319,TAVG,142,H,,S,
AGM00060518,19760321,TAVG,162,H,,S,
AGM00060518,19760322,TAVG,162,H,,S,
AGM00060518,19760323,TAVG,138,H,,S,
AGM00060518,19760324,TAVG,108,H,,S,
AGM00060518,19760325,TAVG,128,H,,S,
AGM00060518,19760328,TAVG,142,H,,S,
AGM00060518,19760329,TAVG,128,H,,S,
AGM00060518,19760330,TAVG,140,H,,S,
AGM00060518,19760409,TMAX,150,,,S,
AGM00060518,19760411,TMAX,180,,,S,
AGM00060518,19760414,TMAX,190,,,S,
AGM00060518,19760417,TMAX,160,,,S,
AGM00060518,19760420,TMAX,190,,,S,
AGM00060518,19760425,TMAX,190,,,S,
AGM00060518,19760427,TMAX,190,,,S,
AGM00060518,19760428,TMAX,190,,,S,
AGM00060518,19760409,TMIN,120,,,S,
AGM00060518,19760411,TMIN,90,,,S,
AGM00060518,19760413,TMIN,90,,,S,
AGM00060518,19760417,TMIN,120,,,S,
AGM00060518,19760422,TMIN,120,,,S,
AGM00060518,19760424,TMIN,130,,,S,
AGM00060518,19760425,TMIN,140,,,S,
AGM00060518,19760402,TAVG,150,H,,S,
AGM00060518,19760403,TAVG,162,H,,S,
AGM00060518,19760404,TAVG,150,H,,S,
AGM00060518,19760405,TAVG,150,H,,S,
AGM00060518,19760406,TAVG,150,H,,S,
AGM00060518,19760409,TAVG,130,H,,S,
AGM00060518,19760410,TAVG,118,H,,S,
AGM00060518,19760411,TAVG,144,H,,S,
AGM00060518,19760413,TAVG,123,H,,S,
AGM00060518,19760414,TAVG,168,H,,S,
AGM00060518,19760417,TAVG,142,H,,S,
AGM00060518,19760420,TAVG,164,H,,S,
AGM00060518,19760422,TAVG,160,H,,S,
AGM00060518,19760424,TAVG,172,H,,S,
AGM00060518,19760425,TAVG,160,H,,S,
AGM00060518,19760427,TAVG,175,H,,S,
AGM00060518,19760428,TAVG,177,H,,S,
AGM00060518,19760502,TMAX,150,,,S,
AGM00060518,19760505,TMAX,200,,,S,
